S/2001_J9       Jupiter            20790200.00     617.00
Europa          Jupiter              670074.00       3.55
Amalthea        Jupiter              180980.00       0.50
Chaldene        Jupiter            23332900.00     734.00
Thebe           Jupiter              221364.00       0.68
Elara           Jupiter            11741200.00     260.00
Pasiphae        Jupiter            23632100.00     708.00
S/2001_J4       Jupiter            23332900.00     713.00
S/2001_J10      Jupiter            18995400.00     534.00
Themisto        Jupiter             7508410.00     130.00
Metis           Jupiter              127882.00       0.29
S/2001_J3       Jupiter            21388500.00     630.00
Callisto        Jupiter             1839710.00      16.70
Praxidike       Jupiter            20939800.00     617.00
Leda            Jupiter            11172900.00     239.00
Harpalyke       Jupiter            21089400.00     625.00
Himalia         Jupiter            11457100.00     251.00
Io              Jupiter              421787.00       1.77
S/2001_J8       Jupiter            20640700.00     609.00
S/2001_J7       Jupiter            20939800.00     622.00
S/2001_J6       Jupiter            22884200.00     715.00
Ganymede        Jupiter             1069430.00       7.15
Lysithea        Jupiter            11711300.00     259.00
S/2001_J11      Jupiter            23332900.00     736.00
S/2001_J1       Jupiter            23781600.00     752.00
Megaclite       Jupiter            23931200.00     758.00
S/2000_J11      Jupiter            12563900.00     287.00
Callirrhoe      Jupiter            24080800.00     759.00
S/2001_J5       Jupiter            23482500.00     732.00
S/2001_J2       Jupiter            20790200.00     615.00
Adrastea        Jupiter              128929.00       0.30
