Hyperion        Saturn              1480740.00      21.30
Calypso         Saturn               296149.00       1.90
Prometheus      Saturn               139250.00       0.61
S/2000_S11      Saturn             17873600.00     888.00
S/2000_S12      Saturn             17798800.00     880.00
S/2000_S9       Saturn             18397100.00     928.00
S/2000_S4       Saturn             17948400.00     899.00
Rhea            Saturn               526486.00       4.52
Titan           Saturn              1046990.00      15.90
S/2000_S10      Saturn             18098000.00     906.00
Helene          Saturn               378412.00       2.75
Mimas           Saturn               185467.00       0.94
Tethys          Saturn               293157.00       1.88
Pandora         Saturn               141643.00       0.63
Pan             Saturn               133716.00       0.57
S/2000_S7       Saturn             20341500.00    1077.00
Phoebe          Saturn             12952800.00     550.00
S/2000_S6       Saturn             11442100.00     454.00
Dione           Saturn               376916.00       2.74
Iapetus         Saturn              3559770.00      79.30
S/2000_S5       Saturn             11367300.00     453.00
Janus           Saturn               151066.00       0.69
S/2000_S1       Saturn             23332900.00    1326.00
S/2000_S3       Saturn             16602300.00     804.00
S/2000_S8       Saturn             15405700.00     712.00
Enceladus       Saturn               237816.00       1.37
Epimetheus      Saturn               149570.00       0.69
S/2000_S2       Saturn             14957000.00     683.00
Atlas           Saturn               137604.00       0.60
Telesto         Saturn               294653.00       1.89
